,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
229,Maragogi,BR,74.52,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
236,Manokwari,ID,82.44,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
237,Touros,BR,76.87,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Loiza,PR,80.58,scattered clouds,18.4313,-65.8802,Vacation Realty
242,Waingapu,ID,87.35,few clouds,-9.6567,120.2641,Pondok Wisata Elim
243,Oussouye,SN,76.51,clear sky,12.485,-16.5469,Auberge du Routard
245,Riberalta,BO,77.79,clear sky,-10.9833,-66.1,Hotel Colonial
246,Khawhai,IN,72.57,clear sky,23.3667,93.1167,Homestay Khawhai
251,Cabo San Lucas,MX,75.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
252,Acapulco,MX,78.12,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
253,Kavaratti,IN,83.08,broken clouds,10.5669,72.642,Green leaf
254,Pampierstad,ZA,70.11,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
256,Lockhart,US,74.98,moderate rain,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
257,Sao Filipe,CV,77.67,overcast clouds,14.8961,-24.4956,Hotel Xaguate
258,Jeremie,HT,77.11,clear sky,18.65,-74.1167,Auberge’Inn
261,Biltine,TD,71.53,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
262,Nabire,ID,86.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
265,Pochutla,MX,75.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
267,Shimoda,JP,71.96,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
268,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
269,Mareeba,AU,83.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
270,Ipixuna,BR,71.8,overcast clouds,-1.7625,-48.8043,Chalé do Mato
271,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
273,Perth,AU,71.01,light rain,-31.9333,115.8333,Quest on Rheola
276,Dennery,LC,78.39,overcast clouds,13.8996,-60.8879,The Fox Grove Inn
277,Mount Gambier,AU,72.9,overcast clouds,-37.8333,140.7667,The Commodore
278,Puerto Quijarro,BO,74.7,clear sky,-17.7833,-57.7667,Hotel palance
286,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
287,Trinidad,BO,80.22,broken clouds,-14.8333,-64.9,Hotel Piesta
289,Ixtapa,MX,70.9,scattered clouds,20.7,-105.2,hotel la terminal
291,Kirakira,SB,82.72,overcast clouds,-10.4544,161.9205,SanBiz Lodge
295,Kudahuvadhoo,MV,80.29,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
298,Wahiawa,US,75.52,clear sky,21.5028,-158.0236,The Inn At Schofield
302,Kanniyakumari,IN,83.35,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
303,Tevaitoa,PF,79.61,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
311,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
315,Marzuq,YE,71.87,clear sky,14.4,46.4667,حيد القفلة
320,Daru,PG,84.45,few clouds,-9.0763,143.2092,Daru Lodge
321,Diapaga,BF,74.39,clear sky,12.0708,1.7889,Hôtel GACILIE
324,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
326,Ambatondrazaka,MG,74.77,broken clouds,-17.8333,48.4167,MANAMBINA Hotel
328,Waghai,IN,87.12,clear sky,20.7667,73.4833,Rest house waghai
329,Nishihara,JP,74.86,overcast clouds,26.1842,127.7558,Minshuku Agaihama
330,Canutama,BR,73.18,scattered clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
333,Quang Ngai,VN,83.16,scattered clouds,15.1167,108.8,Central Hotel
334,Sagar,IN,79.84,clear sky,23.8333,78.7167,Hotel Devyog
338,Bambanglipuro,ID,82.11,overcast clouds,-7.95,110.2833,Puri Brata
339,Alta Floresta,BR,74.89,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
343,Pakxan,LA,89.56,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
344,Lambare,PY,71.19,broken clouds,-25.3468,-57.6065,La casa de Víctor-Jacinto
353,Mayumba,GA,76.53,light rain,-3.432,10.6554,LIKWALE LODGE
354,Wanlaweyn,SO,80.47,broken clouds,2.6185,44.8938,GAASHAAN HOME
356,Lashio,MM,77.88,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
357,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
358,Fayaoue,NC,77.29,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
361,Sur,OM,83.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
363,Gizo,SB,83.3,light rain,-8.103,156.8419,Imagination Island
365,Nelson Bay,AU,73.45,clear sky,-32.7167,152.15,Mantra Nelson Bay
367,Culebra,PR,81.39,broken clouds,18.303,-65.301,Palmetto Guesthouse
375,Santa Cruz,BO,76.46,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
377,Mahasamund,IN,77.27,clear sky,21.1,82.1,mauhari bhantha mahasamund
378,Singaraja,ID,82.74,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
381,Mumford,GH,78.6,broken clouds,5.2618,-0.759,Peace Guest House
386,Tanabi,BR,73.62,clear sky,-20.6264,-49.6492,Point Hotel em Tanabi - SP
390,Sampit,ID,84.15,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
396,Warrnambool,AU,70.05,overcast clouds,-38.3833,142.4833,Lady Bay Resort
397,Tezu,IN,79.97,clear sky,27.9167,96.1667,Circuit House
399,Coahuayana,MX,74.52,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
400,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
401,Trincomalee,LK,77.85,moderate rain,8.5711,81.2335,Welcombe Hotel
403,Moundou,TD,73.65,broken clouds,8.5667,16.0833,Planete Life
404,Nanning,CN,81.05,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
408,Atar,MR,75.07,clear sky,20.5169,-13.0499,Oumou Elghoura
416,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
417,Auki,SB,81.48,overcast clouds,-8.7676,160.7034,Auki Motel
419,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
425,Bengkulu,ID,81.64,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
426,Alugan,PH,83.23,broken clouds,12.2188,125.4808,JM Lodge
431,Kalmeshwar,IN,78.42,clear sky,21.2333,78.9,Shri Sai Prem Farsan And Daily Needs
432,Balabac,PH,84.52,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
434,Jaru,BR,76.55,few clouds,-10.4389,-62.4664,Hotel Paraná
435,Ouricuri,BR,76.42,broken clouds,-7.8825,-40.0817,Sertão Pousada
438,Launceston,AU,74.84,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
439,Lang Son,VN,82.89,scattered clouds,21.8333,106.7333,Khai Nga Hotel
442,Karratha,AU,83.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
443,Tura,IN,75.02,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
447,Kiunga,PG,79.5,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
